column_name;total_non_null;num_categories;most_frequent_value;most_frequent_count;most_frequent_percentage;distribution;percentage_distribution
strooa03_wais4;3950;5;0.0;3512;88.91;{0.0: np.int64(3512), 1.0: np.int64(357), 2.0: np.int64(62), 3.0: np.int64(17), 4.0: np.int64(2)};{0.0: np.float64(88.91), 1.0: np.float64(9.04), 2.0: np.float64(1.57), 3.0: np.float64(0.43), 4.0: np.float64(0.05)}
strooa04_wais4;3947;8;0.0;3782;95.82;{0.0: np.int64(3782), 1.0: np.int64(127), 2.0: np.int64(28), 3.0: np.int64(4), 4.0: np.int64(3), 5.0: np.int64(1), 6.0: np.int64(1), 7.0: np.int64(1)};{0.0: np.float64(95.82), 1.0: np.float64(3.22), 2.0: np.float64(0.71), 3.0: np.float64(0.1), 4.0: np.float64(0.08), 5.0: np.float64(0.03), 6.0: np.float64(0.03), 7.0: np.float64(0.03)}
stroob03_wais4;3959;10;0.0;2713;68.53;{0.0: np.int64(2713), 1.0: np.int64(800), 2.0: np.int64(272), 3.0: np.int64(116), 4.0: np.int64(36), 5.0: np.int64(13), 6.0: np.int64(4), 7.0: np.int64(3), 8.0: np.int64(1), 9.0: np.int64(1)};{0.0: np.float64(68.53), 1.0: np.float64(20.21), 2.0: np.float64(6.87), 3.0: np.float64(2.93), 4.0: np.float64(0.91), 5.0: np.float64(0.33), 6.0: np.float64(0.1), 7.0: np.float64(0.08), 8.0: np.float64(0.03), 9.0: np.float64(0.03)}
stroob04_wais4;3958;8;0.0;3621;91.49;{0.0: np.int64(3621), 1.0: np.int64(255), 2.0: np.int64(53), 3.0: np.int64(18), 4.0: np.int64(6), 5.0: np.int64(3), 6.0: np.int64(1), 7.0: np.int64(1)};{0.0: np.float64(91.49), 1.0: np.float64(6.44), 2.0: np.float64(1.34), 3.0: np.float64(0.45), 4.0: np.float64(0.15), 5.0: np.float64(0.08), 6.0: np.float64(0.03), 7.0: np.float64(0.03)}
strooc03_wais4;3954;10;0.0;2482;62.77;{0.0: np.int64(2482), 1.0: np.int64(849), 2.0: np.int64(380), 3.0: np.int64(155), 4.0: np.int64(50), 5.0: np.int64(23), 6.0: np.int64(10), 7.0: np.int64(3), 8.0: np.int64(1), 9.0: np.int64(1)};{0.0: np.float64(62.77), 1.0: np.float64(21.47), 2.0: np.float64(9.61), 3.0: np.float64(3.92), 4.0: np.float64(1.26), 5.0: np.float64(0.58), 6.0: np.float64(0.25), 7.0: np.float64(0.08), 8.0: np.float64(0.03), 9.0: np.float64(0.03)}
fv04_wais4;3959;9;0.0;2756;69.61;{0.0: np.int64(2756), 1.0: np.int64(737), 2.0: np.int64(275), 3.0: np.int64(110), 4.0: np.int64(49), 5.0: np.int64(23), 6.0: np.int64(6), 7.0: np.int64(2), 8.0: np.int64(1)};{0.0: np.float64(69.61), 1.0: np.float64(18.62), 2.0: np.float64(6.95), 3.0: np.float64(2.78), 4.0: np.float64(1.24), 5.0: np.float64(0.58), 6.0: np.float64(0.15), 7.0: np.float64(0.05), 8.0: np.float64(0.03)}
fv06_wais4;3952;6;0.0;3750;94.89;{0.0: np.int64(3750), 1.0: np.int64(159), 2.0: np.int64(31), 3.0: np.int64(8), 4.0: np.int64(3), 5.0: np.int64(1)};{0.0: np.float64(94.89), 1.0: np.float64(4.02), 2.0: np.float64(0.78), 3.0: np.float64(0.2), 4.0: np.float64(0.08), 5.0: np.float64(0.03)}
fv07_wais4;3945;7;0.0;3669;93.0;{0.0: np.int64(3669), 1.0: np.int64(227), 2.0: np.int64(36), 3.0: np.int64(8), 4.0: np.int64(2), 5.0: np.int64(1), 6.0: np.int64(2)};{0.0: np.float64(93.0), 1.0: np.float64(5.75), 2.0: np.float64(0.91), 3.0: np.float64(0.2), 4.0: np.float64(0.05), 5.0: np.float64(0.03), 6.0: np.float64(0.05)}
fv17_wais4;3925;8;0.0;3688;93.96;{0.0: np.int64(3688), 1.0: np.int64(186), 2.0: np.int64(34), 3.0: np.int64(12), 4.0: np.int64(2), 5.0: np.int64(1), 6.0: np.int64(1), 7.0: np.int64(1)};{0.0: np.float64(93.96), 1.0: np.float64(4.74), 2.0: np.float64(0.87), 3.0: np.float64(0.31), 4.0: np.float64(0.05), 5.0: np.float64(0.03), 6.0: np.float64(0.03), 7.0: np.float64(0.03)}
fv18_wais4;3893;4;0.0;3878;99.61;{0.0: np.int64(3878), 1.0: np.int64(10), 2.0: np.int64(4), 3.0: np.int64(1)};{0.0: np.float64(99.61), 1.0: np.float64(0.26), 2.0: np.float64(0.1), 3.0: np.float64(0.03)}
